"Does your application perform data validation for inbound data to identify common attacks (e.g. SQL Injection, XSS)? Please describe.",Yes. The application is well tested against these common attacks through both internal & 3rd party penetration testing.,
Does your application perform data validation/filtering for outbound data to ensure that sensitive information (e.g. username or password) is not presented back to the end-user following data validation errors? Please describe.,"Yes, through internal penetration testing.",
Does your application perform both client-side and server-side data validation? Please describe.,"Yes, we provide both Server side validations(backend validations) as well as Client level validations(JS validations)",
"Does your application employ encryption technologies to protect customer data during transit? Please describe. If SSL is used, what versions are supported?","Customer Information is secured both at rest and transit. Communication with Chronus Services is secured via a high-grade 2048-bit SSL encryption, and Data at REST is protected using AES 256 encryption.
Versions above TLS 1.0 are supported.",
"Does your application support role-based access models for user access, with specific permissions assigned to each role?",Yes,
Does your application provide protection (encryption/hashing) for stored passwords and other sensitive data? Please describe.,"Yes, our application stores passwords in a MySQL database and they are hashed. (not applicable is Cystic Fibrosis opts for SSO in which case the application never stores any password)",
"Does your application implement password enforcement policies, such as minimum length, complexity, expiration, and reuse restrictions? Please describe.","Yes, all password enforcement policies such as length, complexity, expiration, reuse resctrictions and IP restrictions can be configed by Cystic Fibrosis",
Does your application have a password history functionality enabled such that passwords cannot be reused within a predefined period of time? Please describe.,Passwords cannot be reused for a certain number of predefined times on password reset/change.,
"Does your application implement user lockout after a certain number of failed authentication attempts? Please describe, including any limitations.",We can enable account lockout after a certain number of failed authentication attempts. It can be reactivated either automatically after a certain amount of predefined time or by sending an email to the user for reactivation.,
Does your application have the ability to integrate with LDAP (e.g. Active Directory) or other directory service for authentication and/or authorization?,Yes. LDAP based authentication is supported,
Does your application have the ability to integrate with federated single sign-on solutions/protocols (i.e. using SAML)?  Please describe.,"Yes, Chronus Mentor authentication supports Single Sign On (SSO) integration with services like CAS, Open SSL, SOAP and SAML 2.0.",
Does your organization have a formal Software Development Lifecycle (SDLC) program or methodology? Please describe.,"Yes, Please refer to Chronus system development process document for details.

The application is developed using a rigorous System Development process which incorporates security in all the phases of system development including definition, design, development, validation and deployment.

The following principles are followed as part of Chronus secure coding practice:
Separation of duties, principle of least privilege, secure defaults, principle of defense in depth, Minimize attack surface area",
Does your application enforce a session time-out and/or lockout that would be triggered after a pre-defined amount of user inactivity? Please describe the timeframe and whether it is configurable.,"Yes, the timeframe can be configurable from 15 mins to 3 hours",
Does your application display a banner to end-users informing them that the application should only be accessed by authorized individuals? Please describe the banners and where they are implemented.,Content and its place can be customized by Cystic Fibrosis,
"Does your application implement user login/session functionality? If so, please describe the methods used to maintain a user's session (e.g. cookie, dynamic URL, hidden form field, etc.).","Yes, we use cookies to maintain user session",
